127.0.0.1 - - [04/Oct/2017:09:56:58 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/main HTTP/1.1" 200 55080
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/scrollbar/jquery.mCustomScrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/md5/md5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/jquery/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/flexigrid/css/flexigrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/jqueryui/jquery-ui-1.10.4/css/smoothness/jquery-ui-1.10.4.custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/datatable/datatable-1.10.2/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/openlayers/addins/ScaleBar/theme/default/scalebar-thin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/openlayers/addins/LoadingPanel/LoadingPanel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/openlayers/OpenLayers-2.13.1/theme/default/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/jqueryui_dialogextend/jquery.dialogextend.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/css/menuLayout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/css/globals.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/css/catalog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:09:57:25 -0500] "GET /geoportal/lib/jqueryui/jquery-ui-1.10.4/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
